beer_name,brewery_name,beer_type,simple_style,beer_abv,beer_ibu,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,brewery_country,brewery_city,brewery_state,week,month
Deerfly IPA,Deer Creek Brewery,IPA - American,American IPA,6.8,70,Dillon Disc Golf Course,Noblesville,IN,United States,40.0037,-86.0605,3.5,2017-06-29 19:39:53,United States,Noblesville,IN,89,30
Nickel Plate,Deer Creek Brewery,Fruit Beer,Fruit Beer,4.8,17,Dillon Disc Golf Course,Noblesville,IN,United States,40.0037,-86.0605,2.75,2017-06-29 19:47:32,United States,Noblesville,IN,89,30
The Project Series - Idaho #7,Platform Beer Company,Pale Ale - American,Pale Ale,5.1,40,Dewey's Pizza,Grandview Heights,OH,United States,39.9885,-83.0418,4.0,2017-07-01 12:32:16,United States,Cleveland,OH,89,31
Juicy Watermelon,New Belgium Brewing Company,Fruit Beer,Fruit Beer,5.0,7,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,2.5,2017-07-02 21:35:42,United States,Fort Collins,CO,89,31
Citradelic: Exotic Lime Ale,New Belgium Brewing Company,Golden Ale,Golden Ale,5.2,21,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.25,2017-07-02 21:38:47,United States,Fort Collins,CO,89,31
Voodoo Ranger 8 Hop Pale Ale,New Belgium Brewing Company,Pale Ale - American,Pale Ale,5.5,35,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.75,2017-07-02 21:42:29,United States,Fort Collins,CO,89,31
Fat Tire,New Belgium Brewing Company,Red Ale - American Amber / Red,Red Ale,5.2,22,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.25,2017-07-02 21:47:32,United States,Fort Collins,CO,89,31
Weeping Willow Wit,Mother Earth Brewing (North Carolina),Witbier,Witbier,5.0,0,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.0,2017-07-03 21:20:18,United States,Kinston,NC,90,31
Pilot Mountain Pale Ale,Foothills Brewing,Pale Ale - American,Pale Ale,5.5,54,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.75,2017-07-03 21:23:09,United States,Winston-Salem,NC,90,31
Hoppyum IPA,Foothills Brewing,IPA - American,American IPA,6.25,78,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.25,2017-07-03 21:37:45,United States,Winston-Salem,NC,90,31
Belgian White,Blue Moon Brewing Company,Witbier,Witbier,5.4,9,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,2.5,2017-07-03 21:54:16,United States,Denver,CO,90,31
Budweiser,Anheuser-Busch,Lager - North American Adjunct,Lager - North American Adjunct,5.0,12,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,1.5,2017-07-05 19:35:44,United States,St. Louis,MO,90,31
Traditional Lager,Yuengling Brewery,Lager - American Amber / Red,Lager - American Amber / Red,4.5,16,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,2.0,2017-07-05 19:36:15,United States,Pottsville,PA,90,31
Summer Honey Wheat,Blue Moon Brewing Company,Pale Wheat Ale - American,Pale Wheat Ale - American,5.2,15,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,2.5,2017-07-06 15:20:11,United States,Denver,CO,90,31
Swell Rider,D9 Brewing Company,IPA - Session / India Session Ale,American IPA,5.1,0,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.0,2017-07-06 15:21:06,United States,Cornelius,NC,90,31
Numero Uno Agave Cerveza,Flying Dog Brewery,Lager - Pale,Lager - Pale,4.9,20,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.0,2017-07-06 20:20:26,United States,Frederick,MD,90,31
Wildflower Witbier,Natty Greene's Brewing Co.,Witbier,Witbier,4.5,0,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.25,2017-07-06 22:11:00,United States,greensboro,NC,90,31
